,plant.id,date,time.start,duration..min.,s.species,pre.post,visitor.rtu,behaviour,touch plant,part.used,visitor.description,voucher.
75,282,4.15.2017,15:32,15,larrea,pre,syrphid,fly near,N,branch,inspecting,
76,294,4.15.2017,15:59,15,larrea,pre,muscoid,landing,Y,branch,,
77,294,4.15.2017,15:59,15,larrea,pre,apis.mellifera,landing,N,understory,amsinckia,
78,294,4.15.2017,15:59,15,larrea,pre,solitary.bee,landing,Y,branch,"looks similar to one from buckhorn earlier, black and grey. Medium. Looks halictidae",
79,295,4.15.2017,14:19,15,larrea,pre,ladybeetle,fly near,N,branch,,
80,295,4.15.2017,14:19,15,larrea,pre,syrphid,fly near,N,branch,inspecting buds,
81,295,4.15.2017,14:19,15,larrea,pre,syrphid,fly near,N,branch,inspecting buds,
82,299,4.15.2017,16:41,15,larrea,pre,ladybeetle,fly near,N,branch,,
83,299,4.15.2017,16:41,15,larrea,pre,fly,,Y,branch,tiny,
84,299,4.15.2017,16:41,15,larrea,pre,fly,landing,Y,branch,small,
85,299,4.15.2017,16:41,15,larrea,pre,fly,fly near,N,branch,tiny,
86,299,4.15.2017,16:41,15,larrea,pre,fly,fly near,N,branch,tiny,
87,264,4.16.2017,14:03,15,larrea,pre,wasp,crawling,Y,branch,"tiny, on buds",
88,264,4.16.2017,14:03,15,larrea,pre,ladybeetle,landing,Y,branch,may be asian,
89,264,4.16.2017,14:03,15,larrea,pre,wasp,crawling,Y,branch,"tiny, on buds",
90,264,4.16.2017,14:03,15,larrea,pre,fly,fly near,N,branch,tiny,
91,264,4.16.2017,14:03,15,larrea,pre,syrphid,fly near,N,branch,,
92,264,4.16.2017,14:03,15,larrea,pre,muscoid,landing,Y,branch,shiny,
93,264,4.16.2017,14:03,15,larrea,pre,syrphid,fly near,N,branch,,
94,264,4.16.2017,14:03,15,larrea,pre,syrphid,fly near,N,branch,,
95,276,4.16.2017,14:23,15,larrea,pre,fly,fly near,N,branch,tiny,
96,276,4.16.2017,14:23,15,larrea,pre,fly,fly near,N,branch,tiny,
97,276,4.16.2017,14:23,15,larrea,pre,fly,fly near,N,branch,small,
98,276,4.16.2017,14:23,15,larrea,pre,fly,fly near,N,branch,tiny,
99,276,4.16.2017,14:23,15,larrea,pre,fly,fly near,N,branch,tiny,
100,276,4.16.2017,14:23,15,larrea,pre,wasp,crawling,Y,branch,"parastoid, tiny, on buds",
101,276,4.16.2017,14:23,15,larrea,pre,fly,landing,Y,branch,tiny,
102,276,4.16.2017,14:23,15,larrea,pre,fly,landing,Y,branch,tiny,
103,276,4.16.2017,14:23,15,larrea,pre,fly,landing,Y,branch,tiny,
104,276,4.16.2017,14:23,15,larrea,pre,acari,crawling,Y,branch,,
105,276,4.16.2017,14:23,15,larrea,pre,wasp,crawling,Y,branch,"parastoid, tiny, on buds",
106,276,4.16.2017,14:23,15,larrea,pre,wasp,crawling,Y,branch,"parastoid, tiny, on buds",
107,286,4.16.2017,14:43,15,larrea,pre,fly,fly near,N,branch,tiny,
108,286,4.16.2017,14:43,15,larrea,pre,ant,crawling,Y,branch,,
109,286,4.16.2017,14:43,15,larrea,pre,syrphid,fly near,N,branch,,
110,286,4.16.2017,14:43,15,larrea,pre,fly,fly near,N,branch,,
111,286,4.16.2017,14:43,15,larrea,pre,wasp,crawling,N,understory,"on ground, red and black thread-waisted wasp",
112,291,4.16.2017,15:02,15,larrea,pre,syrphid,landing,Y,branch,,
113,291,4.16.2017,15:02,15,larrea,pre,fly,fly near,N,understory,tiny,
114,291,4.16.2017,15:02,15,larrea,pre,fly,landing,Y,branch,medium,
115,281,4.19.2017,13:37,15,larrea,pre,syrphid,fly near,N,branch,inspecting buds,
116,281,4.19.2017,13:37,15,larrea,pre,fly,fly near,N,branch,tiny,
117,281,4.19.2017,13:37,15,larrea,pre,muscoid,fly near,N,branch,medium,
118,281,4.19.2017,13:37,15,larrea,pre,fly,fly near,N,branch,small,
119,281,4.19.2017,13:37,15,larrea,pre,fly,fly near,N,branch,small,
120,281,4.19.2017,13:37,15,larrea,pre,fly,fly near,N,branch,small,
121,281,4.19.2017,13:37,15,larrea,pre,muscoid,landing,Y,branch,medium,
122,281,4.19.2017,13:37,15,larrea,pre,fly,landing,Y,branch,tiny,
123,281,4.19.2017,13:37,15,larrea,pre,fly,fly near,N,branch,"over buds, tiny",
124,281,4.19.2017,13:37,15,larrea,pre,fly,fly near,N,branch,"over buds, tiny",
125,281,4.19.2017,13:37,15,larrea,pre,fly,fly near,N,branch,"over buds, tiny",
126,281,4.19.2017,13:37,15,larrea,pre,fly,fly near,N,branch,"over buds, tiny",
127,198,4.19.2017,14:06,15,larrea,pre,fly,landing,Y,branch,tiny,
128,198,4.19.2017,14:06,15,larrea,pre,syrphid,fly near,N,branch,"first amsinkia, then larrea buds",
129,198,4.19.2017,14:06,15,larrea,pre,fly,landing,Y,branch,tiny,
130,198,4.19.2017,14:06,15,larrea,pre,wasp,crawling,N,understory,ground,crabronidae
131,198,4.19.2017,14:06,15,larrea,pre,fly,landing,Y,branch,tiny,
132,183,4.19.2017,14:33,15,larrea,pre,wasp,landing,Y,branch,black and red thread waisted wasp,
133,183,4.19.2017,14:33,15,larrea,pre,fly,landing,Y,branch,tiny,
134,183,4.19.2017,14:33,15,larrea,pre,pentamoidae,crawling,Y,branch,same as sample,
135,181,4.19.2017,14:58,15,larrea,pre,hummingbird,perched,Y,branch,,
136,181,4.19.2017,14:58,15,larrea,pre,syrphid,landing,Y,branch,,
137,181,4.19.2017,14:58,15,larrea,pre,wasp,landing,Y,branch,black,
138,181,4.19.2017,14:58,15,larrea,pre,fly,landing,Y,branch,tiny,
139,289,4.22.2017,14:28,15,larrea,post,fly,landing,Y,branch,tiny,
140,289,4.22.2017,14:28,15,larrea,post,fly,landing,Y,branch,tiny,
141,146,4.22.2017,15:07,15,larrea,post,hemiptera,landing,Y,flower,"black and red, similar to boxelder",
142,146,4.22.2017,15:07,15,larrea,post,fly,fly near,N,branch,buds,
143,146,4.22.2017,15:07,15,larrea,post,ant,crawling,Y,flower,old flower,
144,146,4.22.2017,15:07,15,larrea,post,solitary.bee,landing,Y,flower,"medium gray black, hairy stripes",
146,195,4.22.2017,15:43,15,larrea,post,solitary.bee,landing,Y,flower,"small, escaped",
147,new1,4.22.2017,16:05,15,larrea,post,spider,crawling,Y,branch,on bud,
148,new1,4.22.2017,16:05,15,larrea,post,solitary.bee,landing,Y,flower,"medium, gray escaped, fast",
149,new1,4.22.2017,16:05,15,larrea,post,ladybeetle,landing,Y,branch,,
150,new1,4.22.2017,16:05,15,larrea,post,wasp,landing,Y,branch,"black, tiny, parastoid",
151,new1,4.22.2017,16:05,15,larrea,post,wasp,landing,Y,branch,small,
152,new1,4.22.2017,16:05,15,larrea,post,carpenter.bee?,landing,Y,flower,,
153,266,4.22.2017,16:28,15,larrea,post,solitary.bee,fly near,N,flower,"same as others, grey/blac k",
154,266,4.22.2017,16:28,15,larrea,post,muscoid,landing,Y,branch,medium,
155,275,4.23.2017,12:37,15,larrea,post,agapostemon/augochlorella,landing,Y,branch,,
156,275,4.23.2017,12:37,15,larrea,post,lepidoptera,fly near,N,branch,swallowtail,
157,275,4.23.2017,12:37,15,larrea,post,ladybeetle,landing,Y,branch,,
158,275,4.23.2017,12:37,15,larrea,post,fly,landing,Y,flower,tiny,
159,275,4.23.2017,12:37,15,larrea,post,fly,landing,Y,branch,,
160,276,4.23.2017,12:53,15,larrea,post,spider,crawling,Y,branch,"jumping spider, hunting",
161,276,4.23.2017,12:53,15,larrea,post,ladybeetle,landing,Y,branch,,
162,276,4.23.2017,12:53,15,larrea,post,fly,landing,Y,branch,small,
163,276,4.23.2017,12:53,15,larrea,post,solitary.bee,landing,Y,flower,"gray/black, same",
164,180,4.23.2017,13:11,15,larrea,post,centris,landing,Y,flower,,
165,180,4.23.2017,13:11,15,larrea,post,solitary.bee,landing,Y,flower,"gray/black, same",
166,180,4.23.2017,13:11,15,larrea,post,ladybeetle,landing,Y,branch,,
167,180,4.23.2017,13:11,15,larrea,post,solitary.bee,landing,Y,flower,"gray/black, same",
168,182,4.23.2017,13:29,15,larrea,post,muscoid,landing,Y,branch,large,
169,182,4.23.2017,13:29,15,larrea,post,pentamoidae,landing,Y,branch,"green, same",
170,194,4.23.2017,13:46,15,larrea,post,bee,,N,understory,,V
171,264,4.25.2017,15:36,15,larrea,post,fly,fly near,N,branch,black,
172,264,4.25.2017,15:36,15,larrea,post,fly,fly near,N,branch,"buds, tiny",
173,301,4.25.2017,15:53,15,larrea,post,centris,landing,Y,flower,,
174,301,4.25.2017,15:53,15,larrea,post,wasp,landing,Y,branch,"buds, green/black, parasitic",
175,301,4.25.2017,15:53,15,larrea,post,fly,fly near,N,branch,small,
176,301,4.25.2017,15:53,15,larrea,post,fly,fly near,N,branch,"buds, tiny",
177,295,4.25.2017,16:12,15,larrea,post,solitary.bee,landing,Y,flower,"medium, not gray and black",
178,295,4.25.2017,16:12,15,larrea,post,solitary.bee,landing,Y,flower,"medium, not gray and black",
179,295,4.25.2017,16:12,15,larrea,post,solitary.bee,landing,Y,flower,"medium, not gray and black",
180,295,4.25.2017,16:12,15,larrea,post,solitary.bee,landing,Y,flower,"medium, not gray and black",
181,295,4.25.2017,16:12,15,larrea,post,solitary.bee,landing,Y,flower,"medium, not gray and black",
182,295,4.25.2017,16:12,15,larrea,post,solitary.bee,fly near,N,flower,"medium, not gray and black",
183,295,4.25.2017,16:12,15,larrea,post,solitary.bee,fly near,N,flower,"medium, not gray and black",
184,295,4.25.2017,16:12,15,larrea,post,muscoid,fly near,N,branch,,
185,295,4.25.2017,16:12,15,larrea,post,solitary.bee,landing,Y,flower,"medium, not gray and black",
186,298,4.25.2017,16:30,15,larrea,post,solitary.bee,fly near,N,branch,,
187,298,4.25.2017,16:30,15,larrea,post,fly,landing,Y,branch,green,
188,298,4.25.2017,16:30,15,larrea,post,fly,fly near,N,understory,,
189,298,4.25.2017,16:30,15,larrea,post,syrphid,fly near,N,branch,small,
190,298,4.25.2017,16:30,15,larrea,post,fly,fly near,N,branch,tiny,
191,298,4.25.2017,16:30,15,larrea,post,solitary.bee,fly near,N,branch,medium,
192,298,4.25.2017,16:30,15,larrea,post,centris,fly near,N,shrub,,
193,298,4.25.2017,16:30,15,larrea,post,gb.solitary.bee,fly near,N,understory,"grey/black, yellow pollen, medium",
194,196,4.25.2017,16:48,15,larrea,post,muscoid,grooming,Y,branch,,
195,196,4.25.2017,16:48,15,larrea,post,wasp,landing,Y,branch,"green/black, tiny",
196,196,4.25.2017,16:48,15,larrea,post,muscoid,landing,Y,branch,,
197,196,4.25.2017,16:48,15,larrea,post,pentamoidae,landing,Y,branch,,
198,196,4.25.2017,16:48,15,larrea,post,muscoid,landing,Y,branch,,
199,196,4.25.2017,16:48,15,larrea,post,wasp,landing,Y,branch,"green/black, tiny",
200,196,4.25.2017,16:48,15,larrea,post,muscoid,landing,Y,branch,,
201,192,4.25.2017,17:05,15,larrea,post,centris,fly near,N,shrub,,
202,192,4.25.2017,17:05,15,larrea,post,centris,landing,N,understory,,
203,297,4.26.2017,12:30,15,larrea,post,apis.mellifera,landing,Y,flowering,,
204,297,4.26.2017,12:30,15,larrea,post,muscoid,landing,Y,branch,,
205,297,4.26.2017,12:30,15,larrea,post,gb.solitary.bee,landing,N,understory,,
206,297,4.26.2017,12:30,15,larrea,post,fly?,landing,Y,branch,,
207,297,4.26.2017,12:30,15,larrea,post,bombylid,landing,N,understory,,
208,294,4.26.2017,12:47,15,larrea,post,solitary.bee,landing,Y,flower,"grey stripes, medium",
209,294,4.26.2017,12:47,15,larrea,post,solitary.bee,fly near,N,shrub,"grey/yellowish, medium",
210,294,4.26.2017,12:47,15,larrea,post,solitary.bee,fly near,N,shrub,"grey/yellowish, medium",
211,294,4.26.2017,12:47,15,larrea,post,solitary.bee,fly near,N,shrub,"grey/yellowish, medium",
212,294,4.26.2017,12:47,15,larrea,post,centris,landing,Y,flower,red eyes,
213,294,4.26.2017,12:47,15,larrea,post,centris,fly near,N,shrub,red eyes,
214,294,4.26.2017,12:47,15,larrea,post,solitary.bee,fly near,N,flower,"black and grey, medium, white faced",
215,294,4.26.2017,12:47,15,larrea,post,gb.solitary.bee,landing,Y,flower,,
216,294,4.26.2017,12:47,15,larrea,post,?,fly near,N,branch,,
217,293,4.26.2017,13:04,15,larrea,post,fly,landing,Y,branch,tiny,
218,293,4.26.2017,13:04,15,larrea,post,bombylid,landing,N,understory,on ground,
219,293,4.26.2017,13:04,15,larrea,post,asilid,landing,Y,branch,,
220,293,4.26.2017,13:04,15,larrea,post,gb.solitary.bee,fly near,N,"branch, flower",,
221,188,4.26.2017,13:22,15,larrea,post,?,fly near,N,flower,,
222,188,4.26.2017,13:22,15,larrea,post,fly,fly near,N,branch,small,
223,188,4.26.2017,13:22,15,larrea,post,solitary.bee,fly near,N,branch,medium,
224,188,4.26.2017,13:22,15,larrea,post,formicidae,landing,Y,understory,many,
225,188,4.26.2017,13:22,15,larrea,post,solitary.bee,landing,Y,flower,medium,
226,282,4.26.2017,13:39,15,larrea,post,ladybeetle,landing,Y,branch,,
227,262,4.26.2017,13:57,15,larrea,post,centris,landing,Y,flower,,
228,262,4.26.2017,13:57,15,larrea,post,fly,fly near,N,branch,"tiny, hovering on buds",
229,262,4.26.2017,13:57,15,larrea,post,fly,fly near,N,branch,"tiny, hovering on buds",
230,262,4.26.2017,13:57,15,larrea,post,gb.solitary.bee,fly near,N,flower,hovering,
231,262,4.26.2017,13:57,15,larrea,post,centris,landing,Y,flower,,
232,262,4.26.2017,13:57,15,larrea,post,centris,landing,Y,flower,,
233,262,4.26.2017,13:57,15,larrea,post,pt.gb.solitary bee,landing,Y,flower,"point, grey/black stripes",
234,262,4.26.2017,13:57,15,larrea,post,pt.gb.solitary bee,landing,Y,flower,"point, grey/black stripes",
235,262,4.26.2017,13:57,15,larrea,post,pt.gb.solitary bee,landing,Y,flower,"point, grey/black stripes",
236,262,4.26.2017,13:57,15,larrea,post,muscoid,landing,Y,branch,large,
237,262,4.26.2017,13:57,15,larrea,post,fly?,fly near,N,flower,,
238,262,4.26.2017,13:57,15,larrea,post,centris,fly near,N,branch,,
239,262,4.26.2017,13:57,15,larrea,post,centris,landing,Y,flower,,
240,262,4.26.2017,13:57,15,larrea,post,apis.mellifera,landing,Y,flower,,
241,114,4.27.2017,12:50,15,larrea,post,solitary.bee,fly near,N,flower,"yellow and black abdomen, not fuzzy, distinct",
242,114,4.27.2017,12:50,15,larrea,post,apis.mellifera,landing,Y,flower,,
243,114,4.27.2017,12:50,15,larrea,post,centris,landing,Y,flower,,
244,114,4.27.2017,12:50,15,larrea,post,solitary.bee,fly near,N,flower,yellow and black abdomen,
245,114,4.27.2017,12:50,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,branch,"small, very fuzzy, grey is like halo",
246,114,4.27.2017,12:50,15,larrea,post,fly,fly near,N,branch,tiny,
247,114,4.27.2017,12:50,15,larrea,post,fly,fly near,N,branch,tiny,
248,114,4.27.2017,12:50,15,larrea,post,gb.solitary.bee,fly near,N,flower,,
249,114,4.27.2017,12:50,15,larrea,post,gb.solitary.bee,fly near,N,flower,,
250,114,4.27.2017,12:50,15,larrea,post,gb.solitary.bee,fly near,N,flower,,
251,114,4.27.2017,12:50,15,larrea,post,gb.solitary.bee,landing,Y,flower,,
252,269,4.27.2017,13:10,15,larrea,post,solitary.bee,fly near,N,flower,medium,
253,269,4.27.2017,13:10,15,larrea,post,lepidoptera,fly near,N,flower,swallowtail,
254,269,4.27.2017,13:10,15,larrea,post,solitary.bee,fly near,N,flower,medium,
255,269,4.27.2017,13:10,15,larrea,post,apis.mellifera,fly near,N,flower,,
256,269,4.27.2017,13:10,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
257,269,4.27.2017,13:10,15,larrea,post,bombylid,landing,N,understory,"black and white wings, brown/pink abdomen",
258,269,4.27.2017,13:10,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,branch,,
259,269,4.27.2017,13:10,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,branch,,
260,269,4.27.2017,13:10,15,larrea,post,apis.mellifera,landing,Y,flower,,
261,269,4.27.2017,13:10,15,larrea,post,fly,fly near,N,flower,,
262,269,4.27.2017,13:10,15,larrea,post,fly,fly near,N,flower,,
263,269,4.27.2017,13:10,15,larrea,post,bee,landing,Y,flower,also photo,V
264,270,4.27.2017,13:29,15,larrea,post,apis.mellifera,landing,Y,flower,,
265,270,4.27.2017,13:29,15,larrea,post,apis.mellifera,landing,Y,flower,,
266,270,4.27.2017,13:29,15,larrea,post,ladybeetle,landing,Y,flower,,
267,270,4.27.2017,13:29,15,larrea,post,apis.mellifera,landing,Y,flower,,
268,270,4.27.2017,13:29,15,larrea,post,fly,fly near,N,branch,tiny,
269,270,4.27.2017,13:29,15,larrea,post,apis.mellifera,landing,Y,flower,,
270,270,4.27.2017,13:29,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
271,270,4.27.2017,13:29,15,larrea,post,apis.mellifera,landing,Y,flower,,
272,270,4.27.2017,13:29,15,larrea,post,apis.mellifera,landing,Y,flower,,
273,288,4.27.2017,13:50,15,larrea,post,syrphid,fly near,N,flower,,
274,288,4.27.2017,13:50,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
275,288,4.27.2017,13:50,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
276,288,4.27.2017,13:50,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
277,288,4.27.2017,13:50,15,larrea,post,muscoid,landing,Y,flower,shiny blue,
278,288,4.27.2017,13:50,15,larrea,post,hemiptera,landing,Y,branch,"on buds, picture, brown",
279,286,4.27.2017,14:07,15,larrea,post,formicidae,crawling,Y,flower,,
280,190,4.27.2017,14:26,15,larrea,post,large bee,landing,Y,flower,"caught, new",V
281,190,4.27.2017,14:26,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
282,190,4.27.2017,14:26,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
283,190,4.27.2017,14:26,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
284,190,4.27.2017,14:26,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
285,190,4.27.2017,14:26,15,larrea,post,solitary.bee,fly near,N,flower,"dark, fast",
286,181,4.29.2017,14:30,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
287,181,4.29.2017,14:30,15,larrea,post,hummingbird,perching,Y,branch,purple throat,
288,181,4.29.2017,14:30,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
289,181,4.29.2017,14:30,15,larrea,post,fuzzygrey.solitary.bee,landing,Y,flower,,V
290,181,4.29.2017,14:30,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
291,181,4.29.2017,14:30,15,larrea,post,centris,landing,Y,flower,,
292,186,4.29.2017,14:50,15,larrea,post,pentamoidae,landing,Y,flower,green,
293,186,4.29.2017,14:50,15,larrea,post,lepidoptera,fly near,N,understory,swallowtail,
