"","uniID","mean.visit.length","mean.fl.visits.per.visit","mean.un.visits.per.visit","PlantID","SecondaryID","Cam","treatment","flowering","Date","TimeOut","flowers.shrub","flowers.pot","het.shrub.blooming.neighbours","het.cactus.blooming.neighbours","understory.richness","het.annual.floral.density","understory.assoc","total.visits","Length","pos.Length","dec.Length","visits.per.hour","t.group","mean.fl.visits.per.hour","mean.un.visits.per.hour"
"24","LO34.12.2017",0.0548611111111111,2.16666666666667,2,"296","","LO3","open","pre","4.12.2017","12:28",1,12,0,0,1,0,"NO",6,"1:12:10",2018-03-09 01:12:10,1.20277777777778,4.98845265588915,"open pre",1.8013856812933,1.66281755196305
"25","LO44.12.2017",0.0875925925925926,1.33333333333333,1.33333333333333,"190","","LO4","open","pre","4.12.2017","12:33",0,4,0,0,3,1,"NO",6,"1:05:33",2018-03-09 01:05:33,1.0925,5.49199084668192,"open pre",1.22044241037376,1.22044241037376
"26","LO54.12.2017",0.0637654320987654,1.66666666666667,1.66666666666667,"189","","LO5","open","pre","4.12.2017","12:18",1,6,0,0,2,1,"NO",9,"1:17:13",2018-03-09 01:17:13,1.28694444444444,6.99330887114181,"open pre",1.29505719835959,1.29505719835959
"27","LO64.12.2017",0.0109722222222222,1,1,"293","","LO6","open","pre","4.12.2017","12:12",0,12,2,0,4,16,"NO",4,"1:18:33",2018-03-09 01:18:33,1.30916666666667,3.05537873965627,"open pre",0.763844684914068,0.763844684914068
"28","LS14.12.2017",0.129444444444444,1.5,1.5,"263","","LS1","shrub","pre","4.12.2017","12:37",0,12,0,0,2,0,"silver.cholla",2,"1:28:14",2018-03-09 01:28:14,1.47055555555556,1.36003022289384,"shrub pre",1.02002266717038,1.02002266717038
"29","LS24.12.2017",0.00333333333333333,2,2,"272","","LS2","shrub","pre","4.12.2017","12:42",0,15,1,0,3,3,"amb.sal, turp, acamp",2,"1:40:05",2018-03-09 01:40:05,1.66805555555556,1.19900083263947,"shrub pre",1.19900083263947,1.19900083263947
"30","LS34.12.2017",0.0160897435897436,1.23076923076923,1.23076923076923,"296","","LS3","shrub","pre","4.12.2017","12:28",1,12,1,0,3,24,"ephedra",13,"1:07:06",2018-03-09 01:07:06,1.11833333333333,11.6244411326379,"shrub pre",1.10053880545684,1.10053880545684
"31","LS44.12.2017",0.007,1.6,1.6,"190","","LS4","shrub","pre","4.12.2017","12:33",0,2,1,0,4,14,"NO",5,"0:56:18",2018-03-09 00:56:18,0.938333333333333,5.32859680284192,"shrub pre",1.70515097690941,1.70515097690941
"32","LS54.12.2017",0.0305555555555556,1.33333333333333,1.33333333333333,"189","","LS5","shrub","pre","4.12.2017","12:18",1,6,1,0,4,0,"NO",9,"1:05:49",2018-03-09 01:05:49,1.09694444444444,8.20460876171182,"shrub pre",1.21549759432768,1.21549759432768
"33","LS64.12.2017",0.111944444444444,1,1,"293","","LS6","shrub","pre","4.12.2017","12:12",0,13,1,0,3,0,"NO",2,"1:07:30",2018-03-09 01:07:30,1.125,1.77777777777778,"shrub pre",0.888888888888889,0.888888888888889
