InsectID,Location,Date,PlantID,Magnet,Microsite,Flowering,Quantity,Order,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,highest.rtu,Common Name,Notes,Specimen Location,ID Keys Used
Shrub.296.April.10.2017.Braun.4,pinned,4.10.2017,296,larrea,shrub,pre,1,Hymenoptera,,Colletidae,,,Colletes,,,Colletes,,,,
Shrub.296.April.10.2017.Braun.5,pinned,4.10.2017,296,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Halictus,,,Halictus,,,,
Shrub.296.April.10.2017.Braun.6,pinned,4.10.2017,296,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.296.April.10.2017.Braun.7,pinned,4.10.2017,296,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.296.April.10.2017.Braun.8,pinned,4.10.2017,296,larrea,shrub,pre,1,Hymenoptera,,Crabronidae,,,Miscophus,,,Miscophus,,,,
Shrub.296.April.10.2017.Braun.9,pinned,4.10.2017,296,larrea,shrub,pre,1,Hymenoptera,,Chrysididae,,,,,,Chrysididae,,,,
Shrub.296.April.10.2017.Braun.10,pinned,4.10.2017,296,larrea,shrub,pre,1,Hymenoptera,,Crabronidae,,,Miscophus,,,Miscophus,,,,
Shrub.296.April.10.2017.Braun.11,pinned,4.10.2017,296,larrea,shrub,pre,1,Hymenoptera,,Crabronidae,,,Miscophus,,,Miscophus,,,,
Open.187.April.11.2017.Braun.1,pinned,4.11.2017,187,larrea,open,pre,1,Hymenoptera,,Chrysididae,,,,,,Chrysididae,,,,
Shrub.187.April.11.2017.Braun.1,pinned,4.11.2017,187,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Halictus,,,Halictus,,,,
Open.193.April.11.2017.Braun.1,pinned,4.11.2017,193,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.193.April.11.2017.Braun.2,pinned,4.11.2017,193,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.193.April.11.2017.Braun.1,pinned,4.11.2017,193,larrea,shrub,pre,1,Diptera,,Tachinidae,,,,,,Tachinidae,,,,
Shrub.193.April.11.2017.Braun.2,pinned,4.11.2017,193,larrea,shrub,pre,1,Diptera,,Muscidae,,,,,,Muscidae,,,,
Shrub.193.April.11.2017.Braun.3,pinned,4.11.2017,193,larrea,shrub,pre,1,Hymenoptera,,Crabronidae,,,,,,Crabronidae,,,,
Open.197.April.11.2017.Braun.1,pinned,4.11.2017,197,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.197.April.11.2017.Braun.2,pinned,4.11.2017,197,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.197.April.11.2017.Braun.1,pinned,4.11.2017,197,larrea,shrub,pre,1,Hymenoptera,,Chrysididae,,,,,,Chrysididae,,,,
Shrub.197.April.11.2017.Braun.2,pinned,4.11.2017,197,larrea,shrub,pre,1,Diptera,,Sarcophagidae,,,,,,Sarcophagidae,,,,
Shrub.266.April.11.2017.Braun.1,pinned,4.11.2017,266,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.266.April.11.2017.Braun.2,pinned,4.11.2017,266,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.266.April.11.2017.Braun.3,pinned,4.11.2017,266,larrea,shrub,pre,1,Hymenoptera,,Pompilidae,,,,,,Pompilidae,,,,
Open.273.April.11.2017.Braun.1,pinned,4.11.2017,273,larrea,open,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.273.April.11.2017.Braun.2,pinned,4.11.2017,273,larrea,open,pre,1,Diptera,,Bombyliidae,Usiinae,,,,,Usiinae,,,,
Shrub.273.April.11.2017.Braun.1,pinned,4.11.2017,273,larrea,shrub,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Shrub.273.April.11.2017.Braun.2,pinned,4.11.2017,273,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.273.April.11.2017.Braun.3,pinned,4.11.2017,273,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
