PlantID,date,time.start,duration (min),s.species,pre.post,visitor.rtu,v.species,behaviour,part.used,visitor.description,voucher?
293,4.12.2017,16:46,15,larrea,pre,fly,fly,landing,branch,gnat,
293,4.12.2017,16:46,15,larrea,pre,muscoid,Muscoidea,fly near,branch,,
300,4.13.2017,13:43,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
300,4.13.2017,13:43,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
300,4.13.2017,13:43,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
199,4.13.2017,14:03,15,larrea,pre,ladybeetle,asian lady beetle,fly near,branch,,
199,4.13.2017,14:03,15,larrea,pre,fly,fly,fly near,branch,tiny,
199,4.13.2017,14:03,15,larrea,pre,hemiptera,rhopalidae,landing,branch,"unknown, green",
199,4.13.2017,14:03,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,inspecting for 15s,
199,4.13.2017,14:03,15,larrea,pre,apis.mellifera,Apis mellifera,landing,understory,amsinckia,
192,4.13.2017,14:31,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
192,4.13.2017,14:31,15,larrea,pre,fly,fly,landing,branch,tiny,
192,4.13.2017,14:31,15,larrea,pre,fly,fly,fly near,branch,tiny,
192,4.13.2017,14:31,15,larrea,pre,fly,fly,fly near,branch,tiny,
192,4.13.2017,14:31,15,larrea,pre,muscoid,Muscoidea,landing,branch,"red eye, black stripes",
192,4.13.2017,14:31,15,larrea,pre,ladybeetle,asian lady beetle,landing,branch,,
192,4.13.2017,14:31,15,larrea,pre,syrphid,scaeva pyrastri,fly near,understory,,
192,4.13.2017,14:31,15,larrea,pre,apis.mellifera,Apis mellifera,fly near,understory,,
186,4.13.2017,15:02,15,larrea,pre,apis.mellifera,Apis mellifera,landing,understory,amsinckia,
186,4.13.2017,15:02,15,larrea,pre,apis.mellifera,Apis mellifera,landing,understory,amsinckia,
186,4.13.2017,15:02,15,larrea,pre,syrphid,scaeva pyrastri,landing,branch,,
186,4.13.2017,15:02,15,larrea,pre,nomada,nomada,fly near,understory,amsinckia,
186,4.13.2017,15:02,15,larrea,pre,ladybeetle,lady beetle,landing,branch,,
208,4.13.2017,15:44,15,buckhorn,pre,chrysomelid,chrysomelidae,landing,branch,,V
208,4.13.2017,15:44,15,buckhorn,pre,fly,,landing,branch,,
208,4.13.2017,15:44,15,buckhorn,pre,syrphid,scaeva pyrastri,fly near,branch,,
208,4.13.2017,15:44,15,buckhorn,pre,fly,,landing,branch,,
208,4.13.2017,15:44,15,buckhorn,pre,coreidae,leptoglossus clypeus,landing,branch,leptoglossus clypeus,
208,4.13.2017,15:44,15,buckhorn,pre,ladybeetle,lady beetle,crawling,branch,non-asian,
208,4.13.2017,15:44,15,buckhorn,pre,syrphid,scaeva pyrastri,fly near,branch,"inspecting buds, 23 s",
208,4.13.2017,15:44,15,buckhorn,pre,chrysomelid,chrysomelidae,crawling,branch,,
208,4.13.2017,15:44,15,buckhorn,pre,hemiptera,,crawling,branch,"red and black, looks like boxelder a bit",
230,4.13.2017,16:06,15,buckhorn,pre,fly,,landing,branch,,
238,4.13.2017,16:24,15,buckhorn,pre,syrphid,,landing,branch,,
238,4.13.2017,16:24,15,buckhorn,pre,fly?,,fly near,branch,,
244,4.13.2017,16:42,15,buckhorn,pre,ladybeetle,,landing,branch,"see pics, non-asian",
244,4.13.2017,16:42,15,buckhorn,pre,fly,,crawling,branch,small,
244,4.13.2017,16:42,15,buckhorn,pre,chrysomelid,,crawling,branch,,
244,4.13.2017,16:42,15,buckhorn,pre,wasp,,crawling,branch,same as line 39,V
253,4.15.2017,13:57,15,buckhorn,pre,fly,,crawling,branch,"tiny, on spine",
253,4.15.2017,13:57,15,buckhorn,pre,fly,,crawling,branch,"tiny, on leaf",
253,4.15.2017,13:57,15,buckhorn,pre,fly,,crawling,branch,"tiny, on spine",
253,4.15.2017,13:57,15,buckhorn,pre,solitary.bee,,habitat,branch,"medium, black with white hairy stripes on abdomen. Crawling into hole in stem",
253,4.15.2017,13:57,15,buckhorn,pre,fly,,displaying,branch,"green eyes, dark spot/lines on end of wings. Have vids etc from later on",
253,4.15.2017,13:57,15,buckhorn,pre,fly,,landing,branch,small,
253,4.15.2017,13:57,15,buckhorn,pre,hemiptera,,landing,,green/blue,
246,4.15.2017,14:19,15,buckhorn,pre,fly,,fly near,branch,small,
246,4.15.2017,14:19,15,buckhorn,pre,ladybeetle,,crawling,branch,"buds, non-asian",
246,4.15.2017,14:19,15,buckhorn,pre,fly,,displaying,branch,"green-eyed, black spot",
246,4.15.2017,14:19,15,buckhorn,pre,syrphid,,fly near,branch,,
246,4.15.2017,14:19,15,buckhorn,pre,ladybeetle,,crawling,branch,,
221,4.15.2017,14:42,15,buckhorn,pre,fly,,landing,branch,small,
221,4.15.2017,14:42,15,buckhorn,pre,fly,,crawling,branch,small,
221,4.15.2017,14:42,15,buckhorn,pre,fly,,displaying,branch,"green-eyed, black spot",
