Day,Rep,Length,Recorder,,Exclude,
4.21.2017,LS3,1:15:19,Jenna,,,
4.21.2017,LO3,0:55:44,Jenna,,,
4.21.2017,LO4,1:21:16,Jenna,,,
4.21.2017,LS4,1:15:44,Jenna,,,
4.21.2017,LO5,1:21:46,Jenna,,,
4.21.2017,LS5,1:34:46,Jenna,,,
4.21.2017,LO6,1:12:48,Jenna,,,
4.21.2017,LS6,1:24:55,Jenna,,,
4.22.2017,LO1,1:18:11,Jenna,,,
4.22.2017,LS1,1:11:42,Jenna,,,
4.22.2017,LO2,1:14:16,Jenna,,,
4.22.2017,LS2,1:19:04,Jenna,,,
4.22.2017,LO3,1:14:07,Jenna,,,
4.22.2017,LS3,1:02:03,Jenna,,,
4.22.2017,LO4,1:39:59,Jenna,,,
4.22.2017,LS4,1:15:40,Jenna,,,
4.22.2017,LO5,1:18:33,Jenna,,,
4.22.2017,LS5,1:25:42,Jenna,,,
4.22.2017,LO6,1:25:38,Jenna,,,
4.22.2017,LS6,1:24:13,Jenna,,,
4.23.2017,LO1,1:21:48,Stephanie,,,
4.23.2017,LO2,1:12:31,Stephanie,,,
4.23.2017,LO3,1:29:35,Stephanie,,,
4.23.2017,LO4,1:41:13,Stephanie,,,
4.23.2017,LO5,1:36:38,Stephanie,,,
4.23.2017,LO6,1:27:23,Stephanie,,,
4.23.2017,LS1,1:18:23,Stephanie,,,
4.23.2017,LS2,1:19:08,Stephanie,,,
4.23.2017,LS3,1:15:35,Stephanie,,,
4.23.2017,LS4,1:35:44,Stephanie,,,
4.23.2017,LS5,1:18:17,Stephanie,,,
4.23.2017,LS6,1:43:33,Stephanie,,,
4.25.2017,LO1,1:21:59,Stephanie,,,
4.25.2017,LO2,1:29:19,Stephanie,,,
4.25.2017,LO3,1:15:39,Stephanie,,,
4.25.2017,LO4,1:42:59,Stephanie,,,
4.25.2017,LO5,1:23:32,Stephanie,,,
4.25.2017,LO6,1:14:38,Stephanie,,,
4.25.2017,LS1,1:37:11,Stephanie,,,
4.25.2017,LS2,1:21:01,Stephanie,,,
4.25.2017,LS3,1:35:38,Stephanie,,,
4.25.2017,LS4,1:38:34,Stephanie,,,
4.25.2017,LS5,1:19:48,Stephanie,,,
4.25.2017,LS6,1:27:26,Stephanie,,,
4.26.2017,LO1,1:39:12,Stephanie,,,
4.26.2017,LO2,1:02:02,Stephanie,,,
4.26.2017,LO3,1:13:37,Stephanie,,,
4.26.2017,LO4,1:22:24,Stephanie,,,
4.26.2017,LO5,1:20:33,Stephanie,,,
4.26.2017,LO6,1:26:49,Stephanie,,,
4.26.2017,LS1,1:35:20,Stephanie,,,
4.26.2017,LS2,1:37:48,Stephanie,,,
4.26.2017,LS3,0:40:58,Stephanie,,,
4.26.2017,LS4,1:33:03,Stephanie,,,
4.26.2017,LS5,1:18:03,Stephanie,,,
4.26.2017,LS6,1:43:55,Stephanie,,,
4.27.2017,LO1,1:39:59,Stephanie,,,
4.27.2017,LO2,1:35:18,Stephanie,,,
4.27.2017,LO4,1:42:14,Stephanie,,,
4.27.2017,LO3,1:13:39,Stephanie,,,
4.27.2017,LO5,1:40:14,Stephanie,,,
4.27.2017,LO6,1:30:08,Stephanie,,,
4.27.2017,LS2,1:20:00,Stephanie,,,
4.27.2017,LS3,1:34:54,Stephanie,,,
4.27.2017,LS4,1:36:00,Stephanie,,,
4.27.2017,LS1,1:34:26,Stephanie,,,
4.27.2017,LS5,1:16:51,Stephanie,,,
4.27.2017,LS6,1:44:25,Stephanie,,,
4.29.2017,LO1,1:40:30,Stephanie,,,
4.29.2017,LO2,1:32:33,Stephanie,,,
4.29.2017,LO3,1:30:33,Stephanie,,,
4.29.2017,LO4,1:42:40,Stephanie,,,
4.29.2017,LO5,1:40:45,Stephanie,,,
4.29.2017,LO6,1:30:08,Stephanie,,,
4.29.2017,LS1,1:36:57,Stephanie,,,
4.29.2017,LS2,1:38:59,Stephanie,,,
4.29.2017,LS3,1:34:51,Stephanie,,,
4.29.2017,LS4,1:36:37,Stephanie,,,
4.29.2017,LS5,1:38:52,Stephanie,,,
4.29.2017,LS6,1:25:40,Stephanie,,,
4.30.2017,LO1,1:29:17,Shobika,,,
4.30.2017,LO2,1:34:41,Shobika,,,
4.30.2017,LO3,1:26:01,Shobika,,,
4.30.2017,LO4,1:40:11,Shobika,,,
4.30.2017,LO5,1:39:19,Shobika,,,
4.30.2017,LO6,1:29:41,Shobika,,,
4.30.2017,LS1,1:35:30,Shobika,,,
4.30.2017,LS2,1:37:28,Shobika,,,
4.30.2017,LS3,1:33:39,Shobika,,,
4.30.2017,LS4,1:35:06,Shobika,,,
4.30.2017,LS5,1:37:23,Shobika,Slightly challenging to observe since there were more flowers than usual (16) and a very distracting background of shrubs,,
4.30.2017,LS6,1:41:50,Shobika,,,
5.1.2017,LO1,1:14:35,Shima,,,
5.1.2017,LO2,0:45:00,Shima,,,
5.1.2017,LO3,1:28:49,Shima,,,
5.1.2017,LO4,1:23:01,Shima,,,
5.1.2017,LO5,1:39:11,Shima,,,
5.1.2017,LO6,1:19:26,Shima,,,
5.1.2017,LS1,1:17:53,Shima,,,
5.1.2017,LS2,1:30:38,Shima,,,
5.1.2017,LS3,1:13:09,Shima,,,
5.1.2017,LS4,1:36:02,Shima,,,
5.1.2017,LS5,1:27:50,Shima,,,
5.1.2017,LS6,1:35:17,Shima,,,
5.2.2017,LO1,1:38:08,Shobika,Slightly challenging to observe since the pot of flowers is a bit far away from the camera and there are many tiny insects visiting the flowers that appear and disappear throughout the video,,
5.2.2017,LO2,0:45:00,Jenna,,,
5.2.2017,LO3,1:28:18,Jenna,ground squirrel 4948,,
5.2.2017,LO4,0:02:01,Jenna,video very short,Y,
5.2.2017,LO5,1:37:09,Jenna,second video the flowers begin to close,,
5.2.2017,LO6,1:24:12,Jenna,,,
5.2.2017,LS1,1:32:17,Jenna,,,
5.2.2017,LS2,1:35:36,Jenna,,,
5.2.2017,LS3,1:30:14,Jenna,,,
5.2.2017,LS4,1:15:05,Jenna,,,
5.2.2017,LS5,1:34:33,Jenna,flowers are closing near end of video,,
5.2.2017,LS6,1:41:37,Jenna,good larrea visitation,,
