"","Recorder","Rep","plant.id","microsite","flowering","magnet.species","phyto.species","video.date","video.length","flower.fov","visitor.species","visitor.descript","visitor.rtu","visitor.behaviour","other.description","start.time","end.time","total.time","flowers.visits","unique.fl.visited","X","X.1","X.2","X.3","X.4","X.5","uniID","pos.total.time","dec.total.time","prop.fl.visited","prop.un.fl.visited"
"23","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","syrphid?","","","0:14:51","0:19:51","0:05:00",1,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:05:00,0.0833333333333333,NA,NA
"24","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","fly?","","","0:20:03","0:20:51","0:00:48",1,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:00:48,0.0133333333333333,NA,NA
"25","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","fly?","","","0:31:35","0:32:31","0:00:56",2,2,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:00:56,0.0155555555555556,NA,NA
"26","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","small fly","","","0:32:15","1:16:46","0:44:31",2,2,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:44:31,0.741944444444444,NA,NA
"27","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","syrphid?","","","1:02:16","1:13:12","0:10:56",1,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:10:56,0.182222222222222,NA,NA
"28","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","?little guy","","","0:00:55","1:38:30","1:37:35",1,1,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 01:37:35,1.62638888888889,NA,NA
"29","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","fly","","","0:02:33","0:03:19","0:00:46",1,1,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 00:00:46,0.0127777777777778,NA,NA
"30","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","small fly","","","0:06:43","0:07:15","0:00:32",1,1,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 00:00:32,0.00888888888888889,NA,NA
"31","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","small fly","","","0:23:06","0:25:40","0:02:34",1,1,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 00:02:34,0.0427777777777778,NA,NA
"32","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","?","","","0:23:40","0:35:00","0:11:20",1,1,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 00:11:20,0.188888888888889,NA,NA
